Id	Name	Category	Status	SourceType	TextId
1	ConnectionEstablished	3	1	1	17
2	ConnectionDisconnected	3	1	1	18
3	ConnectionInterrupted	3	2	1	19
4	ErrorOccurred	1	2	1	20
5	ErrorCleared	1	1	1	21
6	DirectoryDeleted	9	1	1	22
7	DirectoryCreated	9	1	1	23
8	Renamed	9	1	1	24
9	FileCopy	9	1	1	25
10	DeleteFile	9	1	1	26
11	CreateFile	9	1	1	27
12	ReceiveFileFromControl	9	1	1	28
13	TransferFileToControl	9	1	1	29
14	StartTransmitFileToControl	9	1	1	30
15	ProgramStatusChanged	2	1	1	31
16	ToolChanged	10	1	1	32
17	ProgramChanged	2	1	1	33
18	ExecutionMessage	2	1	1	34
19	FileTransferEnd	9	1	1	35
20	StartProgram	2	1	1	36
21	CommunicationServerStart	6	1	3	37
22	CommunicationServerStop	6	1	3	38
23	SignalProcessingError	11	2	3	41
24	SignalProcessingOK	11	1	3	42
25	ExecutionModeChanged	2	1	1	43
26	SmsSent	4	1	3	44
27	SmsSendFailure	4	2	3	45
28	EmailSent	4	1	3	46
29	EmailSendFailure	4	2	3	47
30	SmsReceived	4	1	3	48
31	MessageLimitReached	4	1	3	49
32	SignalLight	2	1	1	50
